video_id,sentiment_score
A6-P1-xxF9Y,0.0
xnBtEib-H9E,0.35
hLgIghY-FGc,0.0
9Tb3xPmr3yg,-0.2
NNywashg_mw,0.25
5n9xafjynJA,0.0
UrSxvUc5R6Q,0.0
wc4v9uT6GWc,0.0
Q11GPMvTxQE,0.0
ssVrzoCgr_w,0.5
wuEKwkTqdw4,0.13636363636363635
n47bRyBKjsw,0.7166666666666667
r15_6z9xryo,0.0
fQvGSkTYJSE,0.25
eKwAib6LosM,0.0
KkhR9z6pAMs,0.0
NSgMcs1KdTI,-0.30000000000000004
5PB2YzNddI8,0.0
YbHdBoHMxK4,0.125
aHKzU_rXdw8,-0.5
WbYqfpnw7sE,0.7000000000000001
rutlOmdgqgI,0.0
nUv22OHdjQU,0.0
fEjag-a7TyU,0.13636363636363635
3k6RD9zVvpE,0.0
-El8z4uy5Ac,1.0
w2Es7-c9GAk,0.15625
B-PVT_rclnM,0.0
6LuHS7ZeSjE,0.0
R8hccXRk3MI,0.0
wx-M8sxcOp8,-0.4
jH2t4Tcl3Pg,0.13636363636363635
3oXhLdeuxDw,0.0
aVpvVq_yZLM,0.25
luZEZgZNFAg,0.0
zOgle88sKro,0.0
YkLzdHTv3G0,0.0
FZ_jNGKCIWs,0.0
G_UHknhNbAQ,0.0
iBy6XRHPODQ,0.5
dLRZTBtdMUg,0.06818181818181818
vNya04dlC4I,0.0
ZkPSbp3zTfo,0.0
euaGS3tPRBw,0.5
X_tYrnv_o6A,0.6000000000000001
FaJmopuuhZE,0.8
iatq3Rn4vsg,0.06666666666666665
TIQqb80eg24,0.0
f45Va7jMSx4,0.0
qv9Gt38LOKQ,0.0
r4a5ZzHclCs,0.0
Kn5UgGQukYQ,-0.6999999999999998
uLHygq6Mm-0,0.0
aD5dCMBeySA,0.05
U44YLdW9AL4,0.0
cyhU06cXfeU,-0.78125
Djxjmq9pvrM,0.0
KQkkgD2p3Ow,0.125
caN18WcW5XU,0.13636363636363635
j7I-d1B6HwE,0.0
VMRIc4ayRlM,0.0
6SjslBAJkJI,0.0
WeOwqu6gOPs,-0.2
F86S9Uc4mP4,0.5
ZvdTNDMru78,0.0
Q1EgRiVdT5w,0.0
nenhv6uTdmw,0.35
c8DogLWrs90,0.0
jPkRGHivRD8,0.0
wPib0uRFmC0,0.0
b6fepBtNgVM,0.0
A_mlvG_nRsg,0.0
k_YtadXMmD4,0.0
3jtjkXSvuJw,-0.1
D-dwmYeLLng,0.0
P1-UTlnjeVg,0.0
JYnNlHQzYTY,0.09999999999999999
p3MjsrMNCbU,0.3
yc2m1LLa9l4,0.0
_EvMYEfF_hQ,0.5
EBt_88nxG4c,0.85
G4BxOhJOmUw,0.0
-SIp6xSP7ds,0.6
0Rt329xQUjM,0.5
OU9IwxU7N78,0.2564102564102564
vkHGedqmIPc,0.5
CxC161GvMPc,0.0
eZQdQ5pV6EE,0.0
4L-BPQVZYXM,0.25
6NAISxSPVSQ,0.2
G_Pu00NmJfg,0.05
0dSR-9mtuzk,0.5
80GNn_eIOhI,0.024999999999999984
OPaybxgucww,-0.2
uU3kLBo_ruo,-0.2
bAfn2duIlN8,0.0
aZdkR_WhA5Q,-0.2
BQC09Mdn24w,0.0
EbuCLC_wVlM,0.016666666666666663
lfkYyrhWphE,0.04545454545454545
fbL1ZoAQgUU,0.25
VUBxPuyUD7w,0.0
vSRAOvhFF1I,0.0
HL3wvhv9QGg,0.0
7Bgj9c48zHU,0.0
i2ZHwnKVXK0,0.3333333333333333
A8QY1IRPGTY,0.0
y86ymJNswlE,0.0
kKFNThEiilU,0.0
lJM8qqEy35c,0.0
k3tWCZu42PQ,0.0
MVes87KrWvs,0.0
ajBJamgZ2nc,0.0
YcCrw6d3UX4,0.125
XHkAjUVoQME,0.0
Nt4tJHp27u0,-0.75
41kp6qN1Crg,0.0
7COF8AhH9Z8,0.0
k-qUBZWor4I,0.0
FrK2j4cPxSc,0.1
c9m52-psUmw,-0.016666666666666666
YRRczTwopgA,0.5
RZU5HebzuP4,0.0
HHtfcjwHERA,0.0
EsBjHXCG4Us,-0.08333333333333333
pi0ePRY7TSc,0.5
cHB_s970Uyw,0.1
Z1rZAT2GtmI,-0.3125
OHOkdEBpwDc,0.0
l7VfDVVxiMM,-0.4375
V3EYjVPRClU,0.0
zYX1bgxEAhw,0.0
I8TVdFbFMg4,0.39583333333333337
VfAOl67WcLY,-0.2
mewW_pRSgEc,0.55
89PKbJ2NAqc,0.0
I6N-XuYllgA,0.024999999999999984
J6iyX87SBP0,0.34877232142857145
Up09AUDzLVI,0.2
KFaMZUarksA,-0.02840909090909091
2Nlo2ekTRvI,-0.3333333333333333
CzmIrPvIzxk,0.6
RP3UsFrDJfY,0.06818181818181818
9efQnL-nlUg,0.39583333333333337
5TLANg1GC7U,-0.5
fIElFIuzGLI,0.13636363636363635
taxAD2LePy8,0.4375
1dQEfL2BfUM,0.25
CKPMAICRYuw,0.0
